visitorID,phone
579227,147227621754336
782766,965844331283634
803660,330607551131977
381377,175820519996179
553253,861200818488866
794316,771040608454291
235320,285443434081673
675710,758305928592499
319591,366858933640159
431374,290626274979656
921224,347769555429512
831191,440456123864013
013116,083577784614171
811062,188535179896221
339379,019133419753251
634926,581562885851205
382900,094546188010313
999918,451683895601933
115982,941216202475197
984018,907887914691943
691877,547003959009287
287702,594815230996561
848312,371649816955605
007635,349317957366624
276168,429489556007395
567537,936808896596142
977674,120323009991031
258532,998727056989855
056972,507448105375654
947088,456128758934909
523160,179568527421790
242283,776073994658092
930045,320660480517727
137971,969694072294272
888660,936647145724521
933239,299660379469996
268099,240197339164608
580652,563050320860868
288049,322714191182302
810687,994964701953703
614950,747038469180969
903161,427967548154992
427784,474995712263787
205525,636779671030419
206574,782345957934204
804789,572539249752148
969742,983641043187538
020809,254184827993226
194225,803261227819582
222532,720793855210870
242847,569901408682243
663618,672985256388519
855317,171291047432970
952210,628349434056986
085435,541517102761810
863522,298756508739817
644718,068572876430143
157527,365835099839552
331233,294587286859644
519066,933666116660196
534218,741622348038088
018992,225225495264139
208803,637059377321895
384997,547295439299971
320468,154984463666458
760766,542249421649357
955190,438475255356746
925600,567756555488505
295406,001648242649250
324557,287345645917354
689847,465421481612915
237952,153855964543003
449358,395961120856617
451763,174736132128170
510484,083355509957048
338248,006153534815222
201273,577433534171006
209856,938302793519259
849188,907274809467288
342350,589904796657583
463331,606798232668662
421717,650658517590543
136814,159661127495605
466648,040414513864764
590000,687216923334353
374996,261378119001501
334932,719083606371288
165253,082573600306647
046727,817808029529980
840985,253778535788487
057645,893395701635856
211938,938803930549183
145007,040212981716883
630744,341268095747974
862680,257605674920245
055750,939969414413788
702726,356898889796937
111791,851885843676730
406075,090928034824382
266303,710865017290616
797484,737685456133132
785966,619562131269168
954253,566049418851066
516803,090563555993278
884855,704617014928051
534952,213914883190629
941575,997836600550030
419591,520796390478999
779054,921233189877942
595790,760624474064998
210782,940861351976248
271461,955918849038563
026014,165234187538520
123145,419256662064018
063976,492030261086569
493253,986018970936653
732226,346590936690937
576628,359601342785731
905671,865982250502897
837024,261312362177879
310654,171602500705353
443696,481920840766865
300141,003890931245274
489115,204236189103757
333116,675554980286806
165937,283724179896393
410959,070916557222335
859028,487205938654063
307389,862535320792584
806794,382455117919024
365192,123720624750227
475305,680489682602456
886701,192627078580574
549486,952139722719997
826885,619341089255302
677241,461323574806571
459815,875698238832868
760425,174540103897208
040144,015727991288192
840549,800278891924019
654801,607118061086533
586307,530398877668158
005773,491020354054698
088182,030400281139909
133672,870162682369895
325540,615075453072756
029230,199108411649233
888849,678148744890685
451056,711248572600139
036517,090741135424606
566778,053647277662007
373614,410395183683131
999483,564712183427065
686574,612678995688070
642068,058093281147429
539506,498583666766220
550376,479278609742902
762641,015352103213500
841696,067108192868594
875190,317160134166496
440632,038756063546715
889384,706628229665084
155157,380984524019702
617547,795905979645126
625802,396740664448803
258266,793237119222176
807612,325564752125011
209918,445616655457195
212248,958900573383781
512647,255432411347646
286591,191271612400987
392595,601767500966923
336615,681341767569727
322265,177409172333272
571059,573954747453036
399320,616432934709795
836007,065259665789630
507124,345704385063597
597118,688070394522135
804007,001604617054040
808379,638526983516569
917219,721697118003197
253424,660952790155183
269003,474787885911113
988017,022186416177201
813286,410897518376776
607489,910776826595639
660013,067217671647915
466295,689709557828210
138120,742831050856986
112943,157285709236094
992741,245498472192067
117067,424569922746302
839992,121293216697024
230036,497360017833138
034466,756966365499186
122044,399377992163596
