patientID,phone
7726349100,913430703680316
7726349100,557776283853852
2628616656,012114938684284
2628616656,409207368531704
2628616656,725282084529513
5242685028,454731334201239
5242685028,340537521313551
5242685028,176066993469183
6379517605,161859213812219
6379517605,118500126161829
6379517605,558421045703751
3575972718,450953503741743
3575972718,378835058687405
3575972718,067672463823404
2762177879,932660304358947
2762177879,654324992156156
2762177879,082968151437416
8021142783,547770873061701
6183410783,378829832214956
6183410783,514847524570304
6183410783,316298533555544
2685127124,922022060904416
2685127124,525730909608753
2685127124,081761252613186
6736423920,809950275900311
6736423920,797901065633768
8017339939,974783351208376
8017339939,929073620886203
3772546672,687911941240302
3772546672,396195112989857
5062390834,604706704921070
8632632423,932125291235679
8632632423,820311305248268
8632632423,575684088939826
0234282371,868564576390562
0234282371,326673492511238
0234282371,747944203585182
7056727686,923559481256686
9672874821,027133712076553
9672874821,658549357991469
2736894907,667111241484149
2736894907,284503386398257
2468361033,933907661880625
2468361033,555430093758010
3513597468,958479713696078
3513597468,676925962292132
5627177565,516973865707790
5627177565,052285154485198
5627177565,165371074355711
4142069252,543665132299100
4142069252,074659887650903
3194647650,739860649899355
3194647650,925991581526626
9462653201,651242502778181
9462653201,532729317724022
9462653201,720903617672416
1259144029,547911534665723
4138545107,194839622291771
8069159140,878405067202154
8069159140,484619573353203
2972404117,210013132807046
2972404117,791465781536417
2972404117,284940338707555
2999351319,645874541738532
2999351319,114978126470007
8973585077,423052641693163
8973585077,218171304335942
0339568616,843194047707004
0339568616,675411639932158
8742769204,362105912601693
8742769204,741494697679732
1432638135,045744897617373
1432638135,871924988921319
0336181783,044251808102569
0336181783,935087770593896
0336181783,327035017847343
5687579084,994580447443179
5687579084,954697460950090
5687579084,311853482318263
1214794355,999426272752452
6344158758,153812918606532
6344158758,675457641212922
6344158758,120788620386537
6772439177,877522053727028
0069444666,674157576506601
5438956645,005385490012587
5438956645,905992926120586
3257306534,400321472113065
6353563737,922096582484924
6353563737,369145297625166
5974175252,240787073536173
5974175252,975944887240151
5974175252,293783812534493
2062740855,592584933407689
2062740855,221343546754728
7266072321,147320772013522
7266072321,483241523201977
7266072321,060642782578428
9017931328,497600468528223
9017931328,694157563741630
9017931328,606649212828530
2865230999,766448353494018
2865230999,700883469462690
4885403926,329291914734427
0488546518,212219724453624
0488546518,451012948071947
7323245700,189765168016433
1459392456,995232659753822
1459392456,347249923026051
5520754303,375702301544791
3793729557,195847258780285
3793729557,116275431925557
3793729557,474016613048950
4332560670,659455093073021
4332560670,380670344004833
4332560670,724716555406694
8916264451,260533091076459
8916264451,745465543999890
8916264451,889448521217939
1122738340,266213690218949
1122738340,500736578264100
1122738340,124843930994519
4718368352,649508715392729
4718368352,298310981895314
1591507512,704211083413037
6050449547,023743559916702
5544958533,487516879793830
5544958533,105805554235450
5544958533,363573894332064
5610578835,235959637396633
5610578835,336725207729587
5610578835,470846456609673
9921848756,162334166744819
1078673907,097965706223286
1078673907,203506936762974
8945701778,933158341242552
8945701778,201555003805176
6711688532,717207621129485
6711688532,711459384861652
6711688532,249196796510019
1541143559,924547458170350
1541143559,155089580106943
3843746574,881603817507797
3843746574,485062955142621
3843746574,599029782908725
4262770286,218644040947301
2316162595,686321795547072
2316162595,986931080264327
2316162595,116725749436850
3892025922,568170522517548
3892025922,813027785577188
3892025922,008992027268918
5288441154,699903206131825
5288441154,408510820358180
5288441154,751978167399765
4031011983,493388532872328
1785987838,418158992258087
7333929670,387437736040764
7333929670,885369060809831
7333929670,246557014232424
0048990679,465630297916599
0048990679,082489661070093
0048990679,693607624587457
8409255261,864024465518950
8409255261,761369827059088
8409255261,357655927055446
4371369596,073777080009046
4371369596,087911081681438
2863629317,908239225767055
2863629317,242627669697165
2863629317,385516512923937
9395510111,397426908152925
9395510111,819342012649593
9395510111,980176921929976
5434666210,492764062930390
5434666210,704196463712187
9695960635,327849351940085
2772869951,789492623596944
2772869951,049336957098968
2772869951,373646603854778
6959144529,224494162304037
6959144529,785224300938985
3889070725,249802360069366
3889070725,473020686805068
3889070725,955937220818505
6207818426,530984307166987
6207818426,601972072356800
1390509245,842193397841543
1390509245,773807822420904
1390509245,355302253855396
8845234632,528012537841638
8845234632,711727244957484
0315184072,351776244718295
3856510215,344280500576201
3856510215,999541694949270
8487626370,731097431220785
8487626370,010829443414380
0081401709,121161019017929
0081401709,207638718456040
4305876309,231898685144099
5650620599,987798091932262
6246421368,322847465838706
1523303102,286619222583318
1523303102,059262398302917
6517154557,110440569242506
6517154557,561125945609647
6428730589,324724663569980
6428730589,054703753889396
6428730589,719194641891214
7316271942,801102782748035
3385368740,219295548699168
3385368740,408166574454139
9328396833,111390731622503
9328396833,726494824292452
0472692226,790389208158293
7571088917,481717767763528
7571088917,344667613764451
7571088917,045012745746584
4256842794,621498024083054
3747084093,886145347353607
3747084093,425290996034450
6911089072,407461524222061
5689148891,244678996840059
8339308318,042026119329458
8142474599,455513829119181
8142474599,396959463321639
8142474599,666783965480148
6098818252,945944643772206
6098818252,960138707752208
2175209469,958316024325714
9705491409,202927342546803
9705491409,986457573681724
3121153010,121467007856112
7216567123,686938073710841
7216567123,854679156881214
2621824007,887834261934017
2621824007,528809297164946
2621824007,999948806312773
9143523557,835804810017396
8528385468,702524277172698
8528385468,696276001780090
8528385468,900942575912813
3836632052,104568669854794
3836632052,479691765039589
3836632052,034776051171212
6542002390,151368492330956
6542002390,360874900358688
6542002390,839604837942804
6475108289,952556087141336
6475108289,460993208542535
6475108289,103078816847457
8407423817,713902196011948
8407423817,319586071616775
8407423817,165863866606131
8012298736,218809505673640
8012298736,494226122021257
8012298736,563077943523985
1023805622,837929147965905
1023805622,613240715093890
1023805622,826935963499331
3645667887,855376254058331
3645667887,355863069459614
3645667887,369671990274141
4892997186,925761067113746
4892997186,793040737442222
9479505326,605053174654073
0426781206,308327212214139
0426781206,728824425737520
0426781206,288537871132775
6416249500,066509134386384
5056409058,074495825541229
5056409058,471252172728142
5056409058,816884476288048
7631418003,444559604318190
7631418003,195166293315554
7631418003,246979488070981
7039877489,214858133998848
4929256857,769249444974801
0286025636,073806564439154
6148214379,259702437857277
6148214379,961976200899142
6148214379,348353345242995
1158901268,799114386236275
1158901268,531150483346044
1158901268,768558013785113
7590519342,064204485869281
3758084682,703079889867290
8487871839,555730956313167
8487871839,256852199667685
5909588104,434565403230655
5909588104,765472594275672
6448303975,613428603097565
6448303975,448289565857926
6448303975,377840582087764
4128524490,994938553811003
4128524490,840684537398515
4128524490,333662521253795
6162486169,022188976766080
6162486169,127193762241755
3972491728,564306139660008
3972491728,656098148518621
0990553083,569230290228981
0990553083,260244094126394
8380033961,728857373761449
8887119853,017669107947807
3512579034,873387082432451
6024474044,846600176036588
6024474044,112099798339448
6024474044,314361781559247
1502934675,554880315433665
1502934675,095015310500938
1502934675,002374409866960
5423644865,032516943293196
5423644865,260565740885033
5423644865,629918036845140
8544347643,873132933460918
8544347643,727592484622464
4440919432,973209772123374
4440919432,444071018022146
4440919432,020691837689632
2533427534,259266543276171
2533427534,669956445066271
3743675307,298943105892205
3743675307,754330049814469
3743675307,566036692431904
7828851932,567691494565235
7828851932,802153418604615
8028671644,153368814567255
1572563781,986955739652247
3160877898,367175064942171
3160877898,574081315680591
3160877898,895122192967279
7662999343,794740214569091
6610330389,396523306763569
6610330389,286341211060197
6610330389,464584414355261
1934045913,530139302798650
6694774340,683116026685527
6694774340,635221103960239
6694774340,940463094184518
1148371897,983433939627605
1148371897,381839296363259
0624126207,724182632629188
4905588747,204786067990102
0683795184,057927436585095
0683795184,755133627850165
2407863830,663954045404416
8631810096,852155485687815
8631810096,100938054917750
8631810096,373333354529742
1664395976,656309637542381
6634772026,727595759632151
3759967515,034533765163666
0370073390,661463626544420
0370073390,909667833478690
0370073390,006281836822894
5977855980,966325352866061
5977855980,902379796249361
5977855980,130934097291548
4334748049,387906072573051
4856781719,128336316869805
4856781719,996354470204666
4790785545,687720759234046
0747942994,403114180310715
0747942994,102956999212197
5371450448,096377081771393
6242062412,289057789899825
6242062412,284739119316072
5437073425,836430264994713
5437073425,081149715011452
4006062566,022434531795796
3264315611,876356394308079
3264315611,612350797628209
3264315611,733628537476312
2187784036,070076982144664
9579639283,155052573572347
9579639283,708234357222749
9579639283,439442483502617
1691578024,545926002500818
1691578024,839617947755804
1691578024,026963429632423
0201919678,686520667114041
1945990940,672725344812544
7567512781,688463709097465
7567512781,693697766490316
7567512781,415823553241055
3767871205,278937753300440
3767871205,195048366358551
3767871205,964426359258556
6862936238,745760150615118
6862936238,598164911956008
6862936238,885067148540420
0957371530,700615044102695
0957371530,016246397051435
8552090855,968624276410416
8552090855,641109448961766
5119069629,667683614176558
5119069629,875063842682844
9183405484,624121524409187
9462896226,899495483210030
9407860610,110233663938859
9407860610,464366312612853
9407860610,671593237219202
8402742605,525078810653762
8402742605,823920499618732
7015017029,728676733394525
7015017029,197425919282209
7015017029,824596979742510
6103232632,811343646327261
0573423824,363132971248344
0573423824,751093425913598
0230074748,101939418205294
8656838337,136249293553699
