staffID,phone
2441386204,616276477742056
0460786012,535731735468242
5633397052,370252896116162
8507777446,424141398470620
2918614087,367599305587377
5359701849,704257625889369
9485091978,018926529355385
9905498857,386655659088297
2729713217,049695815716034
6602023820,938950509891893
7095093638,595788522977841
1804821390,341046629868053
1681156694,815286477868740
9085920305,795675423918548
3179636317,118429273539477
1928178875,214213537981665
5767733485,566417870654353
7887207572,016751117316780
4126289634,335984151963124
4224664850,924008434747751
9864209794,215571034770228
4152453621,626500100259349
8493600705,272656144808053
3282972927,348350840784429
4992662356,952657947893844
5908466427,547512908091219
3234468077,635238115517041
2004405832,083886691354413
3106929716,377815327290211
3514779739,606982369195076
8430807251,985648971705354
6766494005,569806852245964
4832164570,785332447351736
7172694596,686672268022984
3203016995,637691370456779
2996254787,517344902554506
0898412264,329308983585698
3834987018,873705836218576
1916185887,306204774636798
0855166422,266814345351172
3342376205,665998911837278
7275944882,710259911073622
5048558651,678917971854539
0999263829,231419159905173
3610241048,899502855244437
3052898539,210875728548395
0731636544,513205577795694
0018344901,931849218715290
9872149356,537821489442505
3241635294,236908215746226
4971839985,058133390030319
2326831781,622667859046777
3468010295,081408412696748
2335856701,628965179285418
3840230812,927713971556791
8590452366,400431961863798
1340301901,782390911461657
3242463659,459985919787901
0594177331,621324105876216
3496946222,968248127689105
8191978373,792823611388786
9181497177,659896289329384
6599126487,779256674960707
9210607508,226071646976781
9845872807,802289588601906
8214342707,923828122052407
7480754452,744828943215080
8068519578,046102253903725
4276799307,843945620107347
8971715370,458036416612616
5260136191,629687056885606
0756321097,718060332230071
9089877510,252706944073928
4706258481,699351755819521
4237730530,240441598180253
5387320775,205979198420634
4954039692,194111639077478
8148039401,019167991738383
8768479316,667938321880094
1259102305,509342966687765
1799185368,318745946049298
5324250890,209226256874083
2891618205,168912573599905
1295194334,489414699599211
3231885120,379994716621724
3816072270,318809710866018
8908355560,270101143512890
7981222010,980140241005828
1531135774,418035551729589
7162881154,376415173408162
8749547988,809277044783969
5476936952,804548356326914
7690623644,434558701213063
2289636999,022742240970817
5754184265,957226411071268
8594761866,791541042525436
1141570581,063984693376913
8514642203,343367414020957
3277973512,321203649535297
0850425558,081727705400011
5738550817,848044159566872
2084659856,930742232989530
2696078158,724529300692205
7290939105,579935587207286
2854115784,208362773365374
6563891056,624411135356536
4433455802,003324946134954
9442558058,989888364241010
6535702195,685235725974769
4912678119,380729509351351
8074266729,475764029808823
4425788808,563531331015815
1878254481,891372218341093
8390814904,905835452706361
9169476623,536594468410798
9865611077,517482792211289
9056613926,906621372502132
3423953214,950404681193920
0813455291,241905839453296
8336006345,372107803090239
3714201027,575516200442932
4541966116,609963564961273
8780763545,401909690268431
6746409142,502870502504437
0638278277,990841135720121
6420290785,445568145284983
5815820251,866109171936600
0098610098,176605929573422
6194482832,890332655688799
4682268739,920681536006304
8585292275,207818853865886
2171044553,123391729276648
0423203287,745939976054600
6134822059,007564913724872
7842996974,417277312391900
8079981951,687600688735041
3239347204,135217147260134
3212463146,099282679605767
1634337637,573145988515856
7220615276,239405329347820
2817435371,786792591677362
6022357596,467383433018057
9052748962,372460742033960
2061341453,608878336611785
4380495260,454036815839939
3473850308,709774204521094
4054125650,206192534992503
0612842067,024628530367395
1349016867,537694816414621
1931082948,819159121959997
7503147854,243765583825076
1841252268,040522575653230
9778219945,713121100221491
5256182802,469946183861533
9505440976,731542049238221
9891246700,539719776091990
6537396208,518478688452255
3671974648,307274482710132
4943343629,700828800391459
0573576916,630843351977132
6167921293,884667364436235
8781883034,309542972705140
0336396928,100492933775203
7300245748,569717931397180
6758321483,302891482919653
6765474841,730922194840687
7267476027,231579986295258
2099603387,456064680120510
8622723927,500409193364237
5558111233,305500865783167
7035661618,548872298819853
2583273833,196882735505479
6151047267,520797228838113
4272967949,826117578481665
0444701651,637598343724672
9502962022,631899378772907
6327574601,443977806715623
2858917444,590175679843445
9332705520,176501708249458
0007825937,006100701644946
5841229442,527486319650189
5186001626,696234333604176
0123375640,606291751984662
4496332864,377399246215824
7998535607,461688071461164
5558479828,674293363964755
5497949505,635053786042848
5177188032,850343956846663
2575476757,739746006141088
9365521207,720345614974729
1865695203,964417047315098
6442773613,033202527003273
0966064462,654628520729670
9638213002,002946912204119
